crisis,type,signal,n_days,min,p25,median,p75,max,mean
2008 GFC (신용),credit,cpi_z,74,-2.468543926896487,-2.143110029828036,-1.849874371040403,-1.5525648930075227,-1.2932803599095872,-1.8505326414485217
2008 GFC (신용),credit,credit_spread,74,3.51,4.0625,4.890000000000001,5.6,5.88,4.820405405405406
2008 GFC (신용),credit,t10y2y,74,1.69,1.9725,2.25,2.5075,2.76,2.2316216216216214
2008 GFC (신용),credit,vix,74,25.35,30.195,33.239999999999995,38.265,45.89,34.45824324324324
2008 GFC (신용),credit,dist_ma200_QQQ,74,-0.1956687070958597,-0.06673252266257051,0.009359296138474749,0.10345288769482341,0.14062573964616076,0.001739405362551549
2011 유럽 부채 (신용),credit,cpi_z,127,0.7328709834414214,1.33004715005272,1.716055821320113,1.9495218247181865,2.371969357351538,1.626841795151251
2011 유럽 부채 (신용),credit,credit_spread,127,2.69,3.03,3.19,3.275,3.39,3.123937007874016
2011 유럽 부채 (신용),credit,t10y2y,127,1.52,1.75,1.85,2.05,2.72,1.9607086614173226
2011 유럽 부채 (신용),credit,vix,127,15.87,24.855,31.56,34.685,48.0,30.264094488188977
2011 유럽 부채 (신용),credit,dist_ma200_QQQ,127,-0.10625225293833374,-0.03109707881399487,0.002326932227511902,0.028021988840998047,0.07455669856874136,-0.0030720051942933553
2015-16 차이나 (성장),growth,cpi_z,145,-1.6889501886287204,-1.1507036661452974,-0.9720385719399419,-0.7690482944617647,0.7302212384420339,-0.8159580859457309
2015-16 차이나 (성장),growth,credit_spread,145,2.88,3.17,3.22,3.31,3.63,3.2520689655172417
2015-16 차이나 (성장),growth,t10y2y,145,0.96,1.2,1.4,1.45,1.55,1.3222068965517242
2015-16 차이나 (성장),growth,vix,145,12.23,15.75,19.54,23.47,40.74,20.075999999999997
2015-16 차이나 (성장),growth,dist_ma200_QQQ,145,-0.10909904153777428,-0.03976649084768846,0.00265991834466095,0.04270244329736239,0.07241384737505818,-0.00012345539866794912
2018 Q4 (긴축),rate,cpi_z,63,-1.0408855226926985,-1.0147627922695506,0.603617514277973,0.9580927626646489,1.6448817474644886,0.2900079155618343
2018 Q4 (긴축),rate,credit_spread,63,1.83,1.94,2.04,2.255,2.45,2.0917460317460312
2018 Q4 (긴축),rate,t10y2y,63,0.11,0.2,0.26,0.28500000000000003,0.35,0.24031746031746032
2018 Q4 (긴축),rate,vix,63,11.61,18.64,20.71,23.29,36.07,21.053650793650796
2018 Q4 (긴축),rate,dist_ma200_QQQ,63,-0.1610754120534782,-0.05471677979313777,-0.025159207694709473,0.007928813300473014,0.09516453487443832,-0.024814964537612467
2020 COVID (패닉),panic,cpi_z,72,-2.672354506246026,-0.9652184902123603,-0.4294636921021391,1.0688470944087376,1.1723395446801823,-0.1971827381178513
2020 COVID (패닉),panic,credit_spread,72,2.05,3.095,3.28,3.4450000000000003,4.31,3.237083333333333
2020 COVID (패닉),panic,t10y2y,72,0.12,0.3775,0.45,0.5025,0.68,0.41458333333333336
2020 COVID (패닉),panic,vix,72,14.38,31.055,37.955,48.2025,82.69,41.392222222222216
2020 COVID (패닉),panic,dist_ma200_QQQ,72,-0.1494172389096825,-0.02069179870990706,0.06374983447569937,0.10078940196298353,0.2049857339974428,0.04289343642785684
2022 인플레이션,inflation,cpi_z,209,-0.14756315100069087,1.2157836076699535,1.4454927523006653,1.67153651341725,2.004093718499363,1.4181254928402944
2022 인플레이션,inflation,credit_spread,209,1.76,2.0,2.18,2.28,2.42,2.133492822966507
2022 인플레이션,inflation,t10y2y,209,-0.51,-0.29,0.12,0.32,0.89,0.08177033492822965
2022 인플레이션,inflation,vix,209,16.6,22.86,26.19,29.85,36.45,26.22952153110048
2022 인플레이션,inflation,dist_ma200_QQQ,209,-0.23706915928585381,-0.15445859284707852,-0.10784402717559516,-0.05239167331815009,0.11226816258995842,-0.09990711873819358
